记录ID,包名,架构,版本,网站地址,下载地址
8b88e69a-5c77-4f60-8756-391e5a0bf88d,net.sourceforge.chromium-bsu.linyaps,x86_64,	0.9.16.1,https://sourceforge.net/projects/chromium-bsu/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/net.sourceforge.chromium-bsu.linyaps_x86_64_0.9.16.1.deb
ce22a1a6-9102-46b2-975f-c6d0c3a7f757,u.utools.utools,x86_64,7.8.0,https://www.u-tools.cn/download/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/utools_x86_64_7.8.0.deb
58a78f37-7435-4971-8f54-2a93298bc2a7,org.b3log.siyuan,x86_64,3.6.5,https://github.com/siyuan-note/siyuan/releases/tag/v3.6.5,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.b3log.siyuan_x86_64_3.6.5.deb
661bf5b8-f25e-4259-b2a9-9e1e003c9f10,org.gnome.disk-utility,x86_64,46.1-2 b1,https://gitlab.gnome.org/GNOME/gnome-disk-utility/-/tags/46.1,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.gnome.disk-utility_x86_64_46.1-2 b1.deb
8f9d1993-8d36-46d8-ba63-db8f5594fcd3,org.clipgrab.clipgrab,x86_64,3.9.14,https://clipgrab.org/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/ClipGrab-3.9.14-x86_64.AppImage
7a7e554c-2c57-44a8-8ac7-2b8874a27bea,cn.trae.ide,x86_64,2.3.30127,https://www.trae.cn/ide/download,https://rustfsadmin.cicd2.getdeepin.org/linyaps/cn.trae.ide_x86_64_2.3.30127.deb
536f856a-ff08-4e43-a544-063af07d0703,org.zotero.zotero-standalone,x86_64,9.0.4,https://www.zotero.org/download/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.zotero.zotero-standalone_x86_64_9.0.4.tar.xz
acfc7ee4-4b20-4d28-8adc-fcf93d35a544,com.cursor,x86_64,3.5,https://cursor.com/download,https://rustfsadmin.cicd2.getdeepin.org/linyaps/com.cursor_x86_64_3.5.deb
26a7e594-fadf-4fd9-be6e-a499abdb4b8b,zed.app,x86_64,1.3.7,https://github.com/zed-industries/zed/releases/tag/v1.3.7,https://rustfsadmin.cicd2.getdeepin.org/linyaps/zed.app_x86_64_1.3.7.tar.gz
e90f8161-ac3d-4a60-8c1b-a4923ebf3d87,com.readest,x86_64,	0.11.1,https://github.com/readest/readest/releases/tag/v0.11.1,https://rustfsadmin.cicd2.getdeepin.org/linyaps/readest_x86_64_0.11.1.deb
80cc1137-317c-4ef6-bac6-4311682d1d79,com.pic.rawtherapee,x86_64,5.12,https://rawtherapee.com/downloads/5.12/,https://rustfsadmin.cicd2.getdeepin.org/linyaps/com.pic.rawtherapee_x86_64_5.12.AppImage

